pos	dorsal	toff	treal
1	1001	6637	6637
2	1043	7034	7033
3	1218	7666	7665
4	1217	7667	7666
5	1097	7687	7681
6	1073	7934	7932
7	1019	7981	7979
8	1099	8010	8007
9	1128	8104	8093
10	1161	8128	8125
11	1131	8214	8211
12	1110	8309	8294
13	1096	8358	8357
14	1033	8396	8394
15	1068	8483	8482
16	1132	8483	8474
17	1105	8522	8520
18	1010	8566	8564
19	1151	8584	8580
20	1147	8648	8640
21	1072	8662	8640
22	1076	8675	8664
23	1017	8695	8682
24	692	8719	8719
25	1149	8719	8708
26	1162	8749	8742
27	1175	8798	8785
28	1034	8820	8812
29	1104	8820	8818
30	1069	8849	8842
31	1037	8871	8868
32	1026	8954	8946
33	1088	8991	8987
34	1109	9001	9001
35	1021	9006	8996
36	1090	9033	9021
37	1148	9112	9099
38	1140	9120	9118
39	1101	9151	9131
40	1106	9161	9160
41	1323	9174	9163
42	1082	9175	9171
43	1121	9181	9173
44	1028	9194	9192
45	1031	9198	9191
46	1168	9204	9195
47	1173	9236	9234
48	1226	9238	9236
49	1225	9238	9235
50	1158	9250	9245
51	1211	9265	9260
52	1212	9265	9260
53	1032	9271	9261
54	1129	9275	9269
55	1036	9288	9284
56	1005	9327	9323
57	1174	9353	9346
58	1150	9394	9388
59	1170	9427	9417
60	1169	9427	9422
61	1210	9441	9434
62	1030	9462	9448
63	1051	9507	9492
64	1074	9571	9551
65	1166	9574	9554
66	1309	9612	9600
67	1122	9612	9600
68	1084	9640	9623
69	1003	9651	9641
70	1091	9686	9678
71	1141	9731	9721
72	1165	9777	9758
73	1164	9777	9758
74	1214	9796	9791
75	1213	9797	9792
76	1301	9807	9805
77	1071	9889	9884
78	1095	9934	9927
79	1330	9942	9935
80	1052	9989	9986
81	1310	10062	10045
82	1063	10069	10063
83	1042	10083	10070
84	1089	10083	10070
85	1130	10104	10091
86	1077	10156	10153
87	1015	10167	10156
88	1065	10171	10160
89	1047	10180	10176
90	1044	10317	10307
91	1142	10327	10310
92	1053	10341	10323
93	1049	10342	10321
94	1138	10352	10338
95	1062	10363	10362
96	1098	10393	10384
97	1135	10415	10399
98	1154	10470	10462
99	1020	10470	10463
100	1008	10503	10481
101	1009	10551	10544
102	1324	10551	10544
103	1027	10559	10551
104	1215	10560	10550
105	1216	10560	10550
106	1156	10564	10554
107	1127	10589	10578
108	1144	10598	10588
109	1059	10612	10606
110	1060	10661	10642
111	1045	10661	10640
112	1157	10687	10679
113	1314	10695	10689
114	1056	10700	10684
115	1331	10706	10696
116	1055	10720	10700
117	1115	10747	10729
118	1341	10780	10771
119	1320	10834	10821
120	1133	10836	10820
121	1016	10882	10868
122	1040	10900	10896
123	1012	10900	10896
124	1176	10939	10939
125	1112	10940	10923
126	1117	10942	10921
127	1160	10973	10964
128	1153	10993	10979
129	1057	11005	10996
130	1085	11005	10996
131	1067	11054	11047
132	1018	11060	11037
133	1339	11093	11088
134	1202	11159	11149
135	1201	11159	11150
136	1124	11203	11197
137	1070	11205	11192
138	1337	11215	11197
139	1136	11249	11233
140	1100	11249	11233
141	1107	11265	11255
142	1172	11285	11277
143	1171	11291	11282
144	1108	11333	11316
145	1046	11336	11321
146	1102	11383	11361
147	1023	11408	11402
148	1302	11558	11547
149	1125	11579	11575
150	1328	11698	11688
151	1061	11726	11721
152	1326	11747	11741
153	1315	11773	11761
154	1083	11855	11851
155	1167	11855	11852
156	1103	11899	11875
157	1329	11899	11874
158	1207	11973	11956
159	1208	11973	11957
160	1024	11975	11969
161	1304	11975	11969
162	1317	12038	12018
163	1322	12078	12066
164	1332	12078	12059
165	1035	12114	12094
166	1004	12124	12122
167	1134	12124	12122
168	1113	12124	12122
169	1025	12189	12170
170	1094	12365	12357
171	1022	12403	12380
172	1119	12405	12399
173	1029	12416	12392
174	1305	12429	12406
175	1303	12429	12406
176	1126	12461	12447
177	1222	12507	12491
178	1224	12507	12492
179	1205	12516	12502
180	1206	12517	12501
181	1325	12613	12608
182	1340	12613	12609
183	1316	12636	12626
184	1086	12712	12709
185	1066	12741	12734
186	1220	12827	12815
187	1079	12833	12809
188	1321	12878	12873
189	1306	12878	12873
190	1219	12970	12959
191	1336	13043	13028
192	1006	13066	13054
193	1342	13067	13055
194	1093	13134	13117
195	1228	13265	13245
196	1227	13265	13246
197	1155	13347	13326
198	1014	13571	13559
199	1120	13868	13849
200	1333	13868	13850
201	1123	14399	14386
202	1204	14946	14942
203	1335	14946	14941
204	1139	14946	14939
205	1203	14946	14942
